2025-03-04 10:31:57.3486 | INFO | HelloGreetingApplication.Program | Starting the application... 
2025-03-04 10:32:02.8619 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7161 
2025-03-04 10:32:02.8867 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5188 
2025-03-04 10:32:03.0334 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-04 10:32:03.0334 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-04 10:32:03.0334 | INFO | Microsoft.Hosting.Lifetime | Content root path: D:\AVS\BridgeLabz\HelloGreetingApplication\HelloGreetingApplication\ 
2025-03-04 10:32:04.5726 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/weatherforecast - - 
2025-03-04 10:32:06.0837 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/weatherforecast - - - 404 0 - 1517.0508ms 
2025-03-04 10:32:35.9930 | INFO | HelloGreetingApplication.Program | Starting the application... 
2025-03-04 10:32:38.3405 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7161 
2025-03-04 10:32:38.3717 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5188 
2025-03-04 10:32:38.5071 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-04 10:32:38.5071 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-04 10:32:38.5071 | INFO | Microsoft.Hosting.Lifetime | Content root path: D:\AVS\BridgeLabz\HelloGreetingApplication\HelloGreetingApplication\ 
2025-03-04 10:32:40.0335 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/swagger - - 
2025-03-04 10:32:41.1095 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/swagger - - - 301 0 - 1084.6405ms 
2025-03-04 10:32:41.1551 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/swagger/index.html - - 
2025-03-04 10:32:41.6070 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/swagger/index.html - - - 200 - text/html;charset=utf-8 451.8434ms 
2025-03-04 10:32:41.7087 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/swagger/swagger-ui.css - - 
2025-03-04 10:32:41.7087 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/swagger/index.css - - 
2025-03-04 10:32:41.7087 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/swagger/swagger-ui-bundle.js - - 
2025-03-04 10:32:41.7087 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/swagger/swagger-ui-standalone-preset.js - - 
2025-03-04 10:32:41.7087 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/swagger/index.js - - 
2025-03-04 10:32:41.7229 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/swagger/index.js - - - 200 - application/javascript;charset=utf-8 9.7115ms 
2025-03-04 10:32:41.7394 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/_framework/aspnetcore-browser-refresh.js - - 
2025-03-04 10:32:41.8140 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/index.css'. Physical path: 'N/A' 
2025-03-04 10:32:41.8832 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/_vs/browserLink - - 
2025-03-04 10:32:41.9262 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/swagger/index.css - - - 200 202 text/css 217.3197ms 
2025-03-04 10:32:41.9540 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/_framework/aspnetcore-browser-refresh.js - - - 200 12380 application/javascript;+charset=utf-8 214.6148ms 
2025-03-04 10:32:41.9777 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' 
2025-03-04 10:32:41.9777 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' 
2025-03-04 10:32:41.9897 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/swagger/swagger-ui.css - - - 200 154948 text/css 280.9796ms 
2025-03-04 10:32:41.9897 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/swagger/swagger-ui-standalone-preset.js - - - 200 229223 application/javascript 285.0814ms 
2025-03-04 10:32:42.1920 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' 
2025-03-04 10:32:42.1920 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/swagger/swagger-ui-bundle.js - - - 200 1466324 application/javascript 486.7540ms 
2025-03-04 10:32:42.5446 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 661.8790ms 
2025-03-04 10:32:42.8285 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/swagger/v1/swagger.json - - 
2025-03-04 10:32:42.8928 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7161/swagger/favicon-32x32.png - - 
2025-03-04 10:32:42.9085 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A' 
2025-03-04 10:32:42.9085 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7161/swagger/favicon-32x32.png - - - 200 628 image/png 21.4863ms 
